"","ra","dec","pmra","epmra","pmdec","epmdec","mz","ez","my","ey","mj","ej","mh","eh","mk","ek","probability","Cluster"
"1",243.272182051695,-54.2080435950942,-2.25085926055908,0.0948564484715462,-2.58131170272827,0.0790889486670494,17.8029003143311,0.0200286808647795,17.1863994598389,0.0167256589581273,14.5087003707886,0.0178199977862685,14.2455997467041,0.0200286808647795,14.1406002044678,0.0174711275306449,1,"NGC6067"
"2",243.396292109153,-54.2881813166532,-2.23845958709717,0.0869540721178055,-2.64326477050781,0.0646576955914497,999,999,999,999,13.912941192627,0.0391229220852018,13.6598352813721,999,13.5336662521362,0.0622517298860943,1,"NGC6067"
"3",243.109650496715,-54.0550638382578,-2.23340177536011,0.0861976221203804,-2.65282440185547,0.0718365088105202,18.7028007507324,0.0192334599555859,18.0184001922607,0.0162246657102857,14.1864004135132,0.0163542096594141,13.8226003646851,0.0192334599555859,13.7320003509521,0.0163380116741727,1,"NGC6067"
"4",243.297754407703,-54.2505916826164,-2.23161911964417,0.0734769627451897,-2.60544109344482,0.063276395201683,14.5873003005981,0.018331247274233,13.6190996170044,0.0163584461117466,13.9025001525879,0.0171000561494612,13.6878004074097,0.018331247274233,13.6603002548218,0.0160980592780675,1,"NGC6067"
"5",242.933731277523,-54.2776647413188,-2.2219545841217,0.0760558843612671,-2.48462057113647,0.0578984469175339,18.9099998474121,0.0196285048469608,18.451099395752,0.0164275499690344,14.2356996536255,0.016192147148037,14.0328998565674,0.0196285048469608,13.9075002670288,0.0171034695280206,1,"NGC6067"
"6",243.360808482784,-54.233727226117,-2.20911812782288,0.0707333385944366,-2.49546122550964,0.0541108772158623,999,999,999,999,10.0173813076019,0.0237649742835444,9.92423493385315,999,9.87210614395142,0.0251380989486188,1,"NGC6067"
"7",243.186271128265,-54.2388192812736,-2.19760799407959,0.0444942601025105,-2.69960951805115,0.0373935550451279,19.3141994476318,NA,18.6940994262695,NA,13.2721004486084,0.0182011733952755,11.4835499477386,NA,13.0343999862671,0.0151142926821008,0,"NGC6067"
"9",243.333067667761,-54.1270576799048,-2.19618487358093,0.0941547825932503,-2.49315595626831,0.0748360082507133,19.2378005981445,0.0190740822276614,18.5834999084473,0.0163283511547373,14.5901002883911,0.0163158012126428,14.298999786377,0.0190740822276614,14.2569999694824,0.017997880908554,1,"NGC6067"
"10",243.293478396103,-54.267696382159,-2.1945481300354,0.0769081264734268,-2.55642080307007,0.0585908629000187,17.4204998016357,0.0191362837527846,17.1201000213623,0.0165513854418693,13.9509000778198,0.0172698481904773,13.7211999893188,0.0191362837527846,13.6884002685547,0.0161594876693136,1,"NGC6067"
"11",243.60548697129,-54.2515251098648,-2.19063282012939,0.0799941420555115,-2.47520327568054,0.0677614286541939,999,999,999,999,14.803289270401,0.0586089241346623,14.5742146968842,999,14.5293141365051,0.101392093944418,0.87,"NGC6067"
"12",243.304993758156,-54.2673039548336,-2.19003081321716,0.0849323347210884,-2.663414478302,0.0401203408837318,19.1215991973877,0.0186438562250231,18.6651992797852,0.0155751642302817,12.9878997802734,0.0171603494162306,12.8446998596191,0.0186438562250231,12.940899848938,0.0151153143226355,1,"NGC6067"
"13",243.428819554078,-54.1689383564764,-2.18770694732666,0.0953114405274391,-2.49139618873596,0.0674622133374214,18.510799407959,0.0195741694790273,18.1053009033203,0.0165387421449947,14.2875995635986,0.0168579848204452,14.0317001342773,0.0195741694790273,13.9748001098633,0.0171402677224867,1,"NGC6067"
"14",243.227179900834,-54.2756388063502,-2.1867139339447,0.0559756904840469,-2.58606934547424,0.0513881593942642,17.0652008056641,NA,16.3197002410889,0.0195787050833746,13.5160999298096,0.0165562595718138,13.2454996109009,NA,13.1736001968384,0.0149820826719063,1,"NGC6067"
"15",243.22233386007,-54.3311198714508,-2.18550086021423,0.0621167980134487,-2.76329565048218,0.0478031150996685,999,999,999,999,11.2741794099808,0.0239436630629668,11.1803649091721,999,11.1854538669586,0.0301425606002178,1,"NGC6067"
"16",243.109477777416,-54.2519729820952,-2.17904472351074,0.059146773070097,-2.70214581489563,0.0537773109972477,18.5848999023438,NA,18.0400009155273,0.018165986982336,13.9357995986938,0.0161002566719207,13.6687002182007,NA,13.5647001266479,0.0160412336028031,1,"NGC6067"
